atlas_label,n_label_voxels,label_volume [mm³],n_lesion_voxels,lesion_volume [mm³],lesion_volume [percent]
Not_in_Atlas,7151671,7151671.0,69,69.0,0.0009648094829865636
CSTL_Atlas,584,584.0,0,0.0,0.0
CSTR_Atlas,622,622.0,0,0.0,0.0
FPTL_Atlas,910,910.0,4,4.0,0.43956043956043955
FPTR_Atlas,1085,1085.0,0,0.0,0.0
ICPMCL_Atlas,176,176.0,0,0.0,0.0
ICPMCR_Atlas,287,287.0,0,0.0,0.0
ICPVCL_Atlas,1547,1547.0,0,0.0,0.0
ICPVCR_Atlas,1089,1089.0,0,0.0,0.0
LLL_Atlas,164,164.0,0,0.0,0.0
LLR_Atlas,145,145.0,0,0.0,0.0
MCP_Atlas,21678,21678.0,0,0.0,0.0
MLL_Atlas,1028,1028.0,0,0.0,0.0
MLR_Atlas,1678,1678.0,0,0.0,0.0
POTPTL_Atlas,2839,2839.0,0,0.0,0.0
POTPTR_Atlas,3091,3091.0,0,0.0,0.0
SCPCRL_Atlas,104,104.0,0,0.0,0.0
SCPCRR_Atlas,178,178.0,0,0.0,0.0
SCPCTL_Atlas,10990,10990.0,0,0.0,0.0
SCPCTR_Atlas,12449,12449.0,11,11.0,0.08836051088440838
SCPSCL_Atlas,1335,1335.0,0,0.0,0.0
SCPSCR_Atlas,1448,1448.0,0,0.0,0.0
STTL_Atlas,3173,3173.0,0,0.0,0.0
STTR_Atlas,2761,2761.0,0,0.0,0.0
