atlas_label,n_label_voxels,label_volume [mm³],n_lesion_voxels,lesion_volume [mm³],lesion_volume [percent]
Unknown/Background,5353072,5353072,0,0,0
Left CerebellumPosterior LobeInferior Semi-Lunar LobuleGray Matter,13612,13612,0,0,0
Right CerebellumPosterior LobeInferior Semi-Lunar LobuleGray Matter,15446,15446,0,0,0
Left CerebellumPosterior LobeCerebellar TonsilGray Matter,18262,18262,0,0,0
Right CerebellumPosterior LobeCerebellar TonsilGray Matter,16288,16288,0,0,0
Left BrainstemMedulla,4234,4234,0,0,0
Right BrainstemMedulla,3417,3417,0,0,0
Inferior Temporal Gyrus,307,307,0,0,0
Left CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 20,3770,3770,0,0,0
Left CerebrumTemporal LobeInferior Temporal Gyrus,2736,2736,0,0,0
Left CerebrumTemporal Lobe,3456,3456,0,0,0
Right CerebrumTemporal Lobe,4807,4807,0,0,0
Right CerebrumTemporal LobeInferior Temporal Gyrus,5480,5480,0,0,0
Right CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 20,6028,6028,0,0,0
Left CerebrumTemporal LobeInferior Temporal GyrusWhite Matter,6521,6521,0,0,0
Left CerebrumLimbic LobeInferior Temporal GyrusGray MatterBrodmann area 20,4687,4687,0,0,0
Left CerebrumLimbic LobeUncusGray MatterBrodmann area 20,14726,14726,0,0,0
Left CerebrumLimbic LobeUncus,5603,5603,0,0,0
Right CerebrumLimbic LobeUncusGray MatterBrodmann area 20,12206,12206,0,0,0
Right CerebrumLimbic LobeInferior Temporal GyrusGray MatterBrodmann area 20,3414,3414,0,0,0
Right CerebrumTemporal LobeInferior Temporal GyrusWhite Matter,4517,4517,0,0,0
Left CerebrumLimbic Lobe,1305,1305,0,0,0
Right CerebrumLimbic Lobe,1540,1540,0,0,0
Left CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 20,667,667,0,0,0
Left CerebrumTemporal LobeMiddle Temporal GyrusWhite Matter,23298,23298,0,0,0
Left CerebrumLimbic LobeUncusWhite Matter,4072,4072,0,0,0
Right CerebrumLimbic LobeGray MatterBrodmann area 20,507,507,0,0,0
Right CerebrumLimbic LobeUncusWhite Matter,4793,4793,0,0,0
Right CerebrumTemporal LobeMiddle Temporal GyrusWhite Matter,38568,38568,0,0,0
Right CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 20,762,762,0,0,0
Right CerebrumTemporal LobeMiddle Temporal Gyrus,18818,18818,0,0,0
Right CerebrumLimbic LobeUncus,848,848,0,0,0
Left CerebrumTemporal LobeMiddle Temporal Gyrus,3292,3292,0,0,0
Left CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 38,435,435,0,0,0
Left CerebrumLimbic LobeUncusGray MatterBrodmann area 38,1551,1551,0,0,0
Right CerebrumLimbic LobeUncusGray MatterBrodmann area 38,2091,2091,0,0,0
Right CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 38,513,513,0,0,0
Left CerebrumLimbic LobeMiddle Temporal GyrusWhite Matter,4799,4799,0,0,0
Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 38,5930,5930,0,0,0
Left CerebrumTemporal LobeSuperior Temporal GyrusWhite Matter,21170,21170,0,0,0
Left CerebrumTemporal LobeSuperior Temporal Gyrus,9284,9284,0,0,0
Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 38,5837,5837,0,0,0
Right CerebrumTemporal LobeSuperior Temporal GyrusWhite Matter,20680,20680,0,0,0
Right CerebrumTemporal LobeSuperior Temporal Gyrus,5016,5016,0,0,0
Right CerebrumTemporal LobeGray MatterBrodmann area 38,1795,1795,0,0,0
Left CerebrumTemporal LobeGray MatterBrodmann area 38,63,63,0,0,0
Right CerebrumFrontal LobeInferior Temporal GyrusGray MatterBrodmann area 20,4369,4369,0,0,0
Right CerebrumInferior Temporal Gyrus,2622,2622,0,0,0
Right Cerebrum,3925,3925,0,0,0
Left CerebrumLimbic LobeInferior Temporal GyrusWhite Matter,658,658,0,0,0
Right CerebrumLimbic LobeInferior Temporal GyrusWhite Matter,4852,4852,0,0,0
Left CerebrumTemporal LobeSub-GyralWhite Matter,31501,31501,0,0,0
Right CerebrumTemporal LobeSub-GyralWhite Matter,40197,40197,0,0,0
Left CerebrumLimbic LobeGray MatterBrodmann area 20,17835,17835,0,0,0
Middle Temporal Gyrus,7421,7421,0,0,0
Right CerebrumLimbic LobeSub-GyralWhite Matter,2806,2806,0,0,0
Left CerebrumLimbic LobeSuperior Temporal GyrusWhite Matter,1341,1341,0,0,0
Right CerebrumLimbic LobeSuperior Temporal GyrusWhite Matter,534,534,0,0,0
Right CerebrumUncus,120,120,0,0,0
Left CerebrumLimbic LobeSuperior Temporal GyrusGray MatterBrodmann area 38,3952,3952,0,0,0
Right CerebrumLimbic LobeSuperior Temporal GyrusGray MatterBrodmann area 38,4463,4463,0,0,0
Left CerebellumPosterior LobePyramisGray Matter,7620,7620,0,0,0
Right CerebellumPosterior LobePyramisGray Matter,7582,7582,0,0,0
Left CerebellumPosterior LobeUvulaGray Matter,11442,11442,0,0,0
Right CerebellumPosterior LobeUvulaGray Matter,11083,11083,0,0,0
Right CerebellumGray Matter,2506,2506,0,0,0
Left CerebellumGray Matter,2517,2517,0,0,0
Left CerebellumPosterior LobeUvula of VermisGray Matter,1411,1411,0,0,0
Right CerebellumPosterior LobeUvula of VermisGray Matter,1269,1269,0,0,0
Right CerebellumSub-lobarFourth VentricleCerebro-Spinal Fluid,826,826,0,0,0
Left CerebellumSub-lobarFourth VentricleCerebro-Spinal Fluid,1241,1241,0,0,0
Left BrainstemPons,9727,9727,0,0,0
Right BrainstemPons,11043,11043,0,0,0
Limbic LobeUncus,567,567,0,0,0
Left Cerebrum,2413,2413,0,0,0
Left CerebrumLimbic LobeUncusGray MatterBrodmann area 36,3813,3813,0,0,0
Right CerebrumLimbic LobeUncusGray MatterBrodmann area 36,3713,3713,0,0,0
Right CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 21,934,934,0,0,0
Left CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 21,8345,8345,0,0,0
Right CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 21,8101,8101,0,0,0
Left CerebellumPosterior LobeTuberGray Matter,11417,11417,0,0,0
Right CerebellumPosterior LobeTuberGray Matter,11922,11922,0,0,0
Left CerebellumPosterior LobePyramis of VermisGray Matter,1181,1181,0,0,0
Right CerebellumPosterior LobePyramis of VermisGray Matter,801,801,0,0,0
Left CerebellumAnterior LobeNoduleGray Matter,1324,1324,0,0,0
Left CerebellumAnterior LobeGray Matter,4287,4287,1,1,0.023326335432704
Right CerebellumAnterior LobeNoduleGray Matter,1726,1726,0,0,0
Right CerebellumAnterior LobeGray Matter,4438,4438,0,0,0
Left CerebellumAnterior LobeCulmenGray Matter,22971,22971,0,0,0
Right CerebellumAnterior LobeCulmenGray Matter,21586,21586,0,0,0
Temporal Lobe,2516,2516,0,0,0
Temporal LobeInferior Temporal Gyrus,40060,40060,57,57,0.142286570144783
Right CerebrumLimbic LobeInferior Temporal Gyrus,52381,52381,0,0,0
Left CerebrumLimbic LobeInferior Temporal Gyrus,2816,2816,0,0,0
Left CerebrumLimbic LobeUncusGray MatterBrodmann area 28,4119,4119,0,0,0
Right CerebrumLimbic LobeUncusGray MatterBrodmann area 28,2438,2438,0,0,0
Left CerebrumLimbic LobeSub-GyralWhite Matter,16720,16720,0,0,0
Left CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 21,464,464,0,0,0
Left CerebrumInferior Temporal Gyrus,560,560,1,1,0.178571428571429
