"Index","Description"
0,"Unknown/Background"
1,"Left CerebellumPosterior LobeInferior Semi-Lunar LobuleGray Matter"
2,"Right CerebellumPosterior LobeInferior Semi-Lunar LobuleGray Matter"
3,"Left CerebellumPosterior LobeCerebellar TonsilGray Matter"
4,"Right CerebellumPosterior LobeCerebellar TonsilGray Matter"
5,"Left BrainstemMedulla"
6,"Right BrainstemMedulla"
7,"Inferior Temporal Gyrus"
8,"Left CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 20"
9,"Left CerebrumTemporal LobeInferior Temporal Gyrus"
10,"Left CerebrumTemporal Lobe"
11,"Right CerebrumTemporal Lobe"
12,"Right CerebrumTemporal LobeInferior Temporal Gyrus"
13,"Right CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 20"
14,"Left CerebrumTemporal LobeInferior Temporal GyrusWhite Matter"
15,"Left CerebrumLimbic LobeInferior Temporal GyrusGray MatterBrodmann area 20"
16,"Left CerebrumLimbic LobeUncusGray MatterBrodmann area 20"
17,"Left CerebrumLimbic LobeUncus"
18,"Right CerebrumLimbic LobeUncusGray MatterBrodmann area 20"
19,"Right CerebrumLimbic LobeInferior Temporal GyrusGray MatterBrodmann area 20"
20,"Right CerebrumTemporal LobeInferior Temporal GyrusWhite Matter"
21,"Left CerebrumLimbic Lobe"
22,"Right CerebrumLimbic Lobe"
23,"Left CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 20"
24,"Left CerebrumTemporal LobeMiddle Temporal GyrusWhite Matter"
25,"Left CerebrumLimbic LobeUncusWhite Matter"
26,"Right CerebrumLimbic LobeGray MatterBrodmann area 20"
27,"Right CerebrumLimbic LobeUncusWhite Matter"
28,"Right CerebrumTemporal LobeMiddle Temporal GyrusWhite Matter"
29,"Right CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 20"
30,"Right CerebrumTemporal LobeMiddle Temporal Gyrus"
31,"Right CerebrumLimbic LobeUncus"
32,"Left CerebrumTemporal LobeMiddle Temporal Gyrus"
33,"Left CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 38"
34,"Left CerebrumLimbic LobeUncusGray MatterBrodmann area 38"
35,"Right CerebrumLimbic LobeUncusGray MatterBrodmann area 38"
36,"Right CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 38"
37,"Left CerebrumLimbic LobeMiddle Temporal GyrusWhite Matter"
38,"Left CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 38"
39,"Left CerebrumTemporal LobeSuperior Temporal GyrusWhite Matter"
40,"Left CerebrumTemporal LobeSuperior Temporal Gyrus"
41,"Right CerebrumTemporal LobeSuperior Temporal GyrusGray MatterBrodmann area 38"
42,"Right CerebrumTemporal LobeSuperior Temporal GyrusWhite Matter"
43,"Right CerebrumTemporal LobeSuperior Temporal Gyrus"
44,"Right CerebrumTemporal LobeGray MatterBrodmann area 38"
45,"Left CerebrumTemporal LobeGray MatterBrodmann area 38"
46,"Right CerebrumFrontal LobeInferior Temporal GyrusGray MatterBrodmann area 20"
47,"Right CerebrumInferior Temporal Gyrus"
48,"Right Cerebrum"
49,"Left CerebrumLimbic LobeInferior Temporal GyrusWhite Matter"
50,"Right CerebrumLimbic LobeInferior Temporal GyrusWhite Matter"
51,"Left CerebrumTemporal LobeSub-GyralWhite Matter"
52,"Right CerebrumTemporal LobeSub-GyralWhite Matter"
53,"Left CerebrumLimbic LobeGray MatterBrodmann area 20"
54,"Middle Temporal Gyrus"
55,"Right CerebrumLimbic LobeSub-GyralWhite Matter"
56,"Left CerebrumLimbic LobeSuperior Temporal GyrusWhite Matter"
57,"Right CerebrumLimbic LobeSuperior Temporal GyrusWhite Matter"
58,"Right CerebrumUncus"
59,"Left CerebrumLimbic LobeSuperior Temporal GyrusGray MatterBrodmann area 38"
60,"Right CerebrumLimbic LobeSuperior Temporal GyrusGray MatterBrodmann area 38"
61,"Left CerebellumPosterior LobePyramisGray Matter"
62,"Right CerebellumPosterior LobePyramisGray Matter"
63,"Left CerebellumPosterior LobeUvulaGray Matter"
64,"Right CerebellumPosterior LobeUvulaGray Matter"
65,"Right CerebellumGray Matter"
66,"Left CerebellumGray Matter"
67,"Left CerebellumPosterior LobeUvula of VermisGray Matter"
68,"Right CerebellumPosterior LobeUvula of VermisGray Matter"
69,"Right CerebellumSub-lobarFourth VentricleCerebro-Spinal Fluid"
70,"Left CerebellumSub-lobarFourth VentricleCerebro-Spinal Fluid"
71,"Left BrainstemPons"
72,"Right BrainstemPons"
73,"Limbic LobeUncus"
74,"Left Cerebrum"
75,"Left CerebrumLimbic LobeUncusGray MatterBrodmann area 36"
76,"Right CerebrumLimbic LobeUncusGray MatterBrodmann area 36"
77,"Right CerebrumTemporal LobeInferior Temporal GyrusGray MatterBrodmann area 21"
78,"Left CerebrumTemporal LobeMiddle Temporal GyrusGray MatterBrodmann area 21"
